!def(__EMX__),
def(USE_NGHTTP2),
def(HAVE_SOCKETPAIR),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_GNUTLS),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(USE_NTLM),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_FSETXATTR_6),
def(HAVE_PIPE),
def(USE_WINDOWS_SSPI),
def(USE_NSS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_LDAP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(_LDAP_PVT_H),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_STRTOK_R),
def(UNITTESTS),
def(SIGHUP),
def(HAVE_FDOPEN),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_SETMODE),
def(__riscos__),
!def(HAVE_GETPASS_R),
(def(WIN32)&!def(_WIN32_WCE)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
True,
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(DISABLE_EXPECT),
def(HAVE_WRITABLE_ARGV),
def(USE_CYASSL),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_ENVIRONMENT),
def(MEMDEBUG_LOG_SYNC),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_CHUNKED),
!def(HAVE_INET_NTOP),
!def(DEBUGBUILD),
def(TIME_WITH_SYS_TIME),
def(CURLDEBUG),
def(LIB1502),
def(LIB585),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_DICT),
def(DEBUGBUILD),
!def(HAVE_GSSAPI),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_TELNET),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_FSETXATTR),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(CURLRES_SYNCH),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(__VMS),
!def(CURL_DOES_CONVERSIONS),
def(CURL_DOES_CONVERSIONS),
(def(USE_NSS)&def(USE_NTLM)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_POLARSSL),
!def(CURL_DISABLE_PROXY),
def(USE_LIBRTMP),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_GOPHER),
def(SIGALRM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(HAVE_GSSAPI),
def(SIGPIPE),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(LIB1503),
!def(CURL_DISABLE_RTSP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_HTTP),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FSETXATTR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__EMX__),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_CRYPTO_AUTH),
