!def(CURL_DISABLE_FTP),
def(HAVE_PIPE),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(CURL_DISABLE_TFTP),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(DISABLE_EXPECT),
(def(__AMIGA__)&!def(__libnix__)),
def(CURL_DISABLE_HTTP),
def(USE_LIBRTMP),
!def(CURL_DISABLE_PROXY),
def(__VMS),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(__AMIGA__),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_DICT),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(LIB585),
!def(HAVE_MEMRCHR),
def(ENABLE_IPV6),
def(HAVE_WRITABLE_ARGV),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
!def(HAVE_STRTOK_R),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURLDEBUG),
def(UNITTESTS),
!def(DEBUGBUILD),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(CURL_DOES_CONVERSIONS),
def(__EMX__),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(__riscos__),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TELNET),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_GOPHER),
def(USE_POLARSSL),
!def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(WIN32)&!def(__AMIGA__)),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_FSETXATTR),
def(HAVE_GETHOSTNAME),
def(USE_NSS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_CHUNKED),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(USE_CYASSL),
def(TIME_WITH_SYS_TIME),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_FSETXATTR),
def(DEBUGBUILD),
def(HAVE_SETMODE),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_RTSP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_HTTP),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_NTOP),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(_LDAP_PVT_H),
!def(USE_WINDOWS_SSPI),
