!def(CURL_DISABLE_HTTP),
def(USE_WINDOWS_SSPI),
!def(DEBUGBUILD),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_PROXY),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_BASENAME),
def(USE_CHUNKED),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(SIGALRM),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(__VMS),
def(SIGPIPE),
def(CURLRES_SYNCH),
def(TIME_WITH_SYS_TIME),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(_LDAP_PVT_H),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DOES_CONVERSIONS),
def(__riscos__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_TFTP),
def(LIB1503),
!def(__EMX__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(DISABLE_EXPECT),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_LIBRTMP),
def(ENABLE_IPV6),
def(LIB1502),
def(UNITTESTS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(SIGHUP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__EMX__),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_NTOP),
def(HAVE_FSETXATTR),
def(USE_POLARSSL),
def(LIB585),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_CYASSL),
def(HAVE_SETMODE),
!def(CURL_DISABLE_RTSP),
def(HAVE_FDOPEN),
True,
def(CURL_DOES_CONVERSIONS),
!def(HAVE_INET_PTON),
def(HAVE_PIPE),
def(CURLDEBUG),
!def(CURL_DISABLE_TELNET),
def(USE_NTLM),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_DICT),
def(USE_GNUTLS),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_GOPHER),
def(HAVE_SOCKETPAIR),
def(USE_ENVIRONMENT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(WIN32)&!def(__AMIGA__)),
def(USE_NSS),
!def(HAVE_MEMRCHR),
def(DEBUGBUILD),
