def(HAVE_FSETXATTR_6),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(__EMX__),
def(HAVE_FSETXATTR),
def(MEMDEBUG_LOG_SYNC),
def(USE_LIBRTMP),
def(__riscos__),
def(CURL_DOES_CONVERSIONS),
def(__EMX__),
!def(CURL_DISABLE_RTSP),
def(CURLRES_SYNCH),
def(HAVE_FDOPEN),
def(LIB585),
def(ENABLE_IPV6),
def(USE_GNUTLS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_GSSAPI),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
def(HAVE_SETMODE),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_TELNET),
def(USE_POLARSSL),
True,
!def(CURL_DISABLE_DICT),
def(USE_ENVIRONMENT),
def(LIB1503),
!def(CURL_DISABLE_GOPHER),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_WINDOWS_SSPI),
!def(HAVE_STRTOK_R),
!def(UNITTESTS),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_GETPASS_R),
def(USE_NGHTTP2),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_TFTP),
!def(HAVE_GSSAPI),
def(LIB1502),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(TIME_WITH_SYS_TIME),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(SIGHUP),
!def(CURL_DOES_CONVERSIONS),
def(CURL_DISABLE_HTTP),
def(DEBUGBUILD),
def(USE_NSS),
def(SIGALRM),
!def(DEBUGBUILD),
def(USE_CHUNKED),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_FSETXATTR),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_BASENAME),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_CYASSL),
!def(HAVE_MEMRCHR),
def(DISABLE_EXPECT),
def(__VMS),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_LDAP),
(def(WIN32)&!def(__AMIGA__)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_PROXY),
!def(_LDAP_PVT_H),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(UNITTESTS),
def(SIGPIPE),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(HAVE_SOCKETPAIR),
