!def(DEBUGBUILD),
def(USE_CHUNKED),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_NSS),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_DICT),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
!def(HAVE_MEMRCHR),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(UNITTESTS),
(!def(_WIN32_WCE)&!def(WIN32)),
def(__AMIGA__),
!def(_LDAP_PVT_H),
!def(HAVE_INET_PTON),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(HAVE_INET_NTOP),
def(CURLDEBUG),
def(USE_POLARSSL),
!def(HAVE_FSETXATTR),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(CURL_DISABLE_HTTP),
def(ENABLE_IPV6),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_CYASSL),
!def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DEBUGBUILD),
!def(USE_WINDOWS_SSPI),
!def(CURL_DOES_CONVERSIONS),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_TFTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(WIN32)&!def(_WIN32_WCE)),
def(__riscos__),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_TELNET),
def(USE_NTLM),
def(LIB585),
def(DISABLE_EXPECT),
(def(__AMIGA__)&!def(__libnix__)),
def(HAVE_FSETXATTR),
def(HAVE_GETHOSTNAME),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(HAVE_SETMODE),
!def(CURL_DISABLE_RTSP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_PROXY),
def(TIME_WITH_SYS_TIME),
def(USE_GNUTLS),
def(CURL_DOES_CONVERSIONS),
def(HAVE_PIPE),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__EMX__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_LIBRTMP),
!def(CURL_DISABLE_FTP),
!def(HAVE_STRTOK_R),
def(__VMS),
(def(WIN32)&!def(__AMIGA__)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
