(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_SETMODE),
def(USE_POLARSSL),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
True,
!def(CURL_DISABLE_DICT),
!def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_RTSP),
def(CURL_DISABLE_HTTP),
def(USE_NSS),
(def(__AMIGA__)&!def(__libnix__)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
!def(HAVE_STRTOK_R),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
def(TIME_WITH_SYS_TIME),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_TELNET),
!def(DEBUGBUILD),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DISABLE_FTP),
!def(CURL_DISABLE_PROXY),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_PTON),
def(ENABLE_IPV6),
def(HAVE_FSETXATTR),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_CYASSL),
def(__AMIGA__),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(__riscos__),
!def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_INET_NTOP),
def(DEBUGBUILD),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(LIB585),
def(USE_LIBRTMP),
def(CURL_DOES_CONVERSIONS),
def(__EMX__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(__VMS),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(CURLDEBUG),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(HAVE_GETHOSTNAME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(USE_WINDOWS_SSPI),
!def(__EMX__),
!def(HAVE_MEMRCHR),
def(UNITTESTS),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_GOPHER),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_FSETXATTR),
