(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_FSETXATTR),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_FSETXATTR),
def(CURL_DISABLE_HTTP),
def(WIN32),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_POLARSSL),
def(__riscos__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_SETMODE),
!def(CURL_DISABLE_HTTP),
(def(WIN32)&!def(__AMIGA__)),
def(UNITTESTS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_GETPASS_R),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(SIGALRM),
def(DEBUGBUILD),
def(USE_CHUNKED),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_GNUTLS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(__VMS),
def(__EMX__),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(CURLDEBUG),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_DICT),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_TFTP),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_PROXY),
def(MEMDEBUG_LOG_SYNC),
def(SIGHUP),
!def(__EMX__),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_FDOPEN),
def(LIB1503),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_CYASSL),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
True,
def(ENABLE_IPV6),
def(CURLRES_SYNCH),
!def(HAVE_STRTOK_R),
def(LIB1502),
!def(HAVE_MEMRCHR),
def(HAVE_PIPE),
!def(CURL_DOES_CONVERSIONS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(LIB585),
!def(_LDAP_PVT_H),
def(USE_LIBRTMP),
!def(HAVE_INET_PTON),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_NTLM),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_TELNET),
def(USE_NSS),
def(TIME_WITH_SYS_TIME),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_LDAP),
def(HAVE_SOCKETPAIR),
!def(HAVE_INET_NTOP),
def(USE_WINDOWS_SSPI),
def(SIGPIPE),
def(HAVE_WRITABLE_ARGV),
def(USE_ENVIRONMENT),
