def(HAVE_PIPE),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TELNET),
!def(__EMX__),
!def(HAVE_BASENAME),
def(CURL_DISABLE_HTTP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_PROXY),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(CURL_DISABLE_RTSP),
(def(WIN32)&!def(__AMIGA__)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(UNITTESTS),
def(ENABLE_IPV6),
def(HAVE_FSETXATTR),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(TIME_WITH_SYS_TIME),
True,
def(USE_CHUNKED),
!def(HAVE_INET_NTOP),
def(DEBUGBUILD),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_MEMRCHR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_WINDOWS_SSPI),
def(DISABLE_EXPECT),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_GOPHER),
def(SIGALRM),
def(__EMX__),
def(LIB1502),
def(SIGPIPE),
def(HAVE_SOCKETPAIR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_LDAP),
!def(HAVE_FSETXATTR),
def(__VMS),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(CURLDEBUG),
def(USE_NSS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_GETPASS_R),
!def(_LDAP_PVT_H),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(WIN32),
!def(HAVE_STRTOK_R),
def(USE_CYASSL),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_SETMODE),
def(CURL_DOES_CONVERSIONS),
def(SIGHUP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(WIN32)&!def(_WIN32_WCE)),
def(LIB1503),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(DEBUGBUILD),
def(USE_POLARSSL),
def(__riscos__),
def(LIB585),
def(USE_NTLM),
def(USE_LIBRTMP),
!def(CURL_DISABLE_DICT),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_TFTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_HTTP),
(!def(_WIN32_WCE)&!def(WIN32)),
def(CURLRES_SYNCH),
