!def(CURL_DOES_CONVERSIONS),
!def(_LDAP_PVT_H),
(def(WIN32)&!def(__AMIGA__)),
def(LIB585),
def(SIGHUP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_GOPHER),
def(USE_LIBRTMP),
!def(HAVE_MEMRCHR),
def(USE_WINDOWS_SSPI),
!def(HAVE_INET_PTON),
!def(HAVE_BASENAME),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(__VMS),
True,
!def(HAVE_STRTOK_R),
def(HAVE_SETMODE),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_SOCKETPAIR),
def(ENABLE_IPV6),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(SIGALRM),
def(__riscos__),
def(USE_NTLM),
def(TIME_WITH_SYS_TIME),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_NSS),
!def(HAVE_FSETXATTR),
def(__EMX__),
def(HAVE_PIPE),
!def(CURL_DISABLE_TFTP),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(__EMX__),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_ENVIRONMENT),
def(USE_POLARSSL),
def(CURLDEBUG),
def(DEBUGBUILD),
def(HAVE_FSETXATTR),
def(HAVE_FDOPEN),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_TELNET),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(UNITTESTS),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_CYASSL),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_CHUNKED),
def(CURL_DOES_CONVERSIONS),
(def(WIN32)&!def(_WIN32_WCE)),
def(LIB1503),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_HTTP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_DICT),
def(DISABLE_EXPECT),
!def(HAVE_GETPASS_R),
def(MEMDEBUG_LOG_SYNC),
def(LIB1502),
def(USE_GNUTLS),
!def(HAVE_INET_NTOP),
def(SIGPIPE),
!def(CURL_DISABLE_RTSP),
def(CURLRES_SYNCH),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
