!def(CURL_DISABLE_LDAP),
def(UNITTESTS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_RTSP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_FSETXATTR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_FSETXATTR),
!def(HAVE_INET_PTON),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(_LDAP_PVT_H),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_MEMRCHR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(HAVE_SETMODE),
!def(DEBUGBUILD),
def(HAVE_GETHOSTNAME),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(__VMS),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(USE_NSS),
def(__EMX__),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_POLARSSL),
(def(__AMIGA__)&!def(__libnix__)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
True,
!def(CURL_DISABLE_TELNET),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_STRTOK_R),
!def(__EMX__),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_LIBRTMP),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(__AMIGA__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_TFTP),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_CYASSL),
!def(CURL_DISABLE_FTP),
def(CURLDEBUG),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_DICT),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__riscos__),
def(TIME_WITH_SYS_TIME),
def(LIB585),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_PROXY),
