!def(CURL_DISABLE_TFTP),
def(DISABLE_EXPECT),
def(USE_GNUTLS),
!def(CURL_DISABLE_TELNET),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_DICT),
!def(__EMX__),
def(HAVE_PIPE),
(def(WIN32)&!def(__AMIGA__)),
True,
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_FSETXATTR),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(TIME_WITH_SYS_TIME),
def(HAVE_GSSAPI),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(UNITTESTS),
def(LIB1503),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_ENVIRONMENT),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(ENABLE_IPV6),
!def(HAVE_INET_NTOP),
def(CURL_DISABLE_HTTP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(SIGALRM),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_PTON),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_GOPHER),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_CYASSL),
def(USE_NGHTTP2),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_RTSP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_GETPASS_R),
def(USE_CHUNKED),
def(__VMS),
def(CURLRES_SYNCH),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(LIB585),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(CURL_DISABLE_PROXY),
def(DEBUGBUILD),
!def(HAVE_GSSAPI),
def(USE_LIBRTMP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(__riscos__),
(def(USE_NSS)&def(USE_NTLM)),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_HTTP),
def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(SIGHUP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_BASENAME),
def(SIGPIPE),
def(MEMDEBUG_LOG_SYNC),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(LIB1502),
def(HAVE_SOCKETPAIR),
!def(DEBUGBUILD),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_STRTOK_R),
!def(_LDAP_PVT_H),
def(USE_NSS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(CURLDEBUG),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_FSETXATTR),
def(USE_WINDOWS_SSPI),
def(HAVE_WRITABLE_ARGV),
def(HAVE_FSETXATTR_6),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_NTLM),
def(USE_POLARSSL),
def(HAVE_SETMODE),
