!def(CURL_DISABLE_GOPHER),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURL_DO_LINEEND_CONV),
def(SIGALRM),
!def(HAVE_MEMRCHR),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_NSS),
def(USE_GNUTLS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(WIN32)&!def(_WIN32_WCE)),
def(DISABLE_EXPECT),
!def(HAVE_INET_PTON),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(CURL_DISABLE_TELNET),
def(HAVE_FSETXATTR),
def(DEBUGBUILD),
def(SIGHUP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(__EMX__),
(def(WIN32)&!def(__AMIGA__)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DOES_CONVERSIONS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(HAVE_SOCKETPAIR),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(LIB1502),
!def(HAVE_INET_NTOP),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_RTSP),
def(USE_NGHTTP2),
def(USE_WINDOWS_SSPI),
!def(DEBUGBUILD),
def(__riscos__),
def(LIB585),
def(CURL_DISABLE_HTTP),
def(LIB1503),
!def(HAVE_GETPASS_R),
def(__EMX__),
def(USE_POLARSSL),
(!def(_WIN32_WCE)&!def(WIN32)),
def(__VMS),
def(HAVE_SETMODE),
def(MEMDEBUG_LOG_SYNC),
def(USE_CYASSL),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_STRTOK_R),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_PROXY),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(CURLRES_SYNCH),
!def(CURL_DISABLE_DICT),
def(USE_LIBRTMP),
!def(HAVE_BASENAME),
def(HAVE_GSSAPI),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_LDAP),
True,
def(CURLDEBUG),
def(USE_ENVIRONMENT),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(UNITTESTS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_CHUNKED),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_PIPE),
def(USE_NTLM),
!def(CURL_DISABLE_TFTP),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_FSETXATTR_6),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(SIGPIPE),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_HTTP),
def(TIME_WITH_SYS_TIME),
