!def(CURL_DISABLE_RTSP),
def(USE_WINDOWS_SSPI),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__VMS),
!def(HAVE_BASENAME),
def(USE_NSS),
!def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_MEMRCHR),
def(MEMDEBUG_LOG_SYNC),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DOES_CONVERSIONS),
def(CURLDEBUG),
def(USE_CHUNKED),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_PTON),
def(DISABLE_EXPECT),
def(USE_POLARSSL),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(ENABLE_IPV6),
(def(WIN32)&!def(__AMIGA__)),
def(CURL_DOES_CONVERSIONS),
!def(_LDAP_PVT_H),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_GOPHER),
def(HAVE_SOCKETPAIR),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(DEBUGBUILD),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_PIPE),
!def(CURL_DISABLE_DICT),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(LIB585),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(CURLRES_SYNCH),
def(UNITTESTS),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_TELNET),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_TFTP),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_FSETXATTR),
def(USE_CYASSL),
!def(CURL_DISABLE_HTTP),
def(USE_LIBRTMP),
def(CURL_DISABLE_HTTP),
def(__riscos__),
True,
def(LIB1502),
!def(CURL_DISABLE_PROXY),
def(USE_GNUTLS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(TIME_WITH_SYS_TIME),
def(USE_NTLM),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_FDOPEN),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__EMX__),
def(DEBUGBUILD),
!def(HAVE_STRTOK_R),
!def(HAVE_GETPASS_R),
def(USE_ENVIRONMENT),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(HAVE_WRITABLE_ARGV),
def(LIB1503),
def(HAVE_SETMODE),
