!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DOES_CONVERSIONS),
!def(USE_WINDOWS_SSPI),
def(HAVE_PIPE),
def(UNITTESTS),
def(__riscos__),
!def(_LDAP_PVT_H),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_NSS),
def(USE_NTLM),
!def(CURL_DISABLE_DICT),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_FTP),
def(DEBUGBUILD),
def(USE_CHUNKED),
def(TIME_WITH_SYS_TIME),
(def(WIN32)&!def(__AMIGA__)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(ENABLE_IPV6),
def(USE_LIBRTMP),
!def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_TELNET),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
True,
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
!def(__EMX__),
def(CURLDEBUG),
def(USE_POLARSSL),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(DISABLE_EXPECT),
def(HAVE_SETMODE),
def(__VMS),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
!def(CURL_DISABLE_GOPHER),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(LIB585),
!def(CURL_DISABLE_HTTP),
def(HAVE_FSETXATTR),
(def(__AMIGA__)&!def(__libnix__)),
def(USE_CYASSL),
def(HAVE_GETHOSTNAME),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_INET_NTOP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(HAVE_INET_PTON),
!def(HAVE_MEMRCHR),
!def(HAVE_STRTOK_R),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_RTSP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(__AMIGA__),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TFTP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_FSETXATTR),
