(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_CYASSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_CHUNKED),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(USE_LIBRTMP),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(USE_NTLM),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_STRTOK_R),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(UNITTESTS),
!def(DEBUGBUILD),
!def(CURL_DISABLE_RTSP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_PROXY),
!def(_LDAP_PVT_H),
def(TIME_WITH_SYS_TIME),
!def(USE_WINDOWS_SSPI),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_SETMODE),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(ENABLE_IPV6),
def(HAVE_FSETXATTR),
def(__AMIGA__),
def(LIB585),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_PIPE),
!def(CURL_DISABLE_GOPHER),
def(USE_POLARSSL),
!def(CURL_DISABLE_FTP),
!def(HAVE_FSETXATTR),
def(DISABLE_EXPECT),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
def(USE_NSS),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(__VMS),
!def(HAVE_INET_PTON),
(def(__AMIGA__)&!def(__libnix__)),
!def(CURL_DOES_CONVERSIONS),
True,
def(__riscos__),
def(DEBUGBUILD),
!def(__EMX__),
(def(WIN32)&!def(_WIN32_WCE)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_MEMRCHR),
def(__EMX__),
def(CURLDEBUG),
!def(CURL_DISABLE_DICT),
def(HAVE_WRITABLE_ARGV),
def(HAVE_GETHOSTNAME),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_INET_NTOP),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_TFTP),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LDAP),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(def(WIN32)&!def(__AMIGA__)),
