!def(HAVE_INET_PTON),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_STRTOK_R),
def(SIGALRM),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(__EMX__),
def(MEMDEBUG_LOG_SYNC),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(LIB1503),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_GOPHER),
def(CURLRES_SYNCH),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(UNITTESTS),
def(HAVE_GSSAPI),
def(__VMS),
def(LIB1502),
def(USE_LIBRTMP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(__riscos__),
!def(CURL_DISABLE_RTSP),
def(HAVE_FDOPEN),
def(HAVE_SETMODE),
!def(HAVE_GSSAPI),
def(DISABLE_EXPECT),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_CHUNKED),
def(DEBUGBUILD),
def(USE_WINDOWS_SSPI),
def(HAVE_PIPE),
def(SIGHUP),
def(SIGPIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(_LDAP_PVT_H),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_TFTP),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(WIN32)&!def(__AMIGA__)),
def(TIME_WITH_SYS_TIME),
!def(DEBUGBUILD),
def(HAVE_SOCKETPAIR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NGHTTP2),
def(CURLDEBUG),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(LIB585),
!def(CURL_DISABLE_PROXY),
!def(HAVE_MEMRCHR),
def(HAVE_FSETXATTR),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURL_DO_LINEEND_CONV),
True,
!def(CURL_DISABLE_TELNET),
!def(HAVE_GETPASS_R),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_DICT),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(__EMX__),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_POLARSSL),
def(HAVE_WRITABLE_ARGV),
def(USE_NSS),
def(USE_NTLM),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_CYASSL),
!def(HAVE_FSETXATTR),
