!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURL_DISABLE_HTTP),
!def(DEBUGBUILD),
!def(HAVE_MEMRCHR),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(CURLDEBUG),
def(CURLRES_SYNCH),
def(HAVE_FSETXATTR),
def(UNITTESTS),
def(SIGPIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_PROXY),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(SIGHUP),
def(HAVE_WRITABLE_ARGV),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_RTSP),
def(USE_CYASSL),
def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(CURL_DOES_CONVERSIONS),
def(__riscos__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_TFTP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(DISABLE_EXPECT),
!def(HAVE_FSETXATTR),
def(__VMS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(HAVE_SETMODE),
def(USE_POLARSSL),
def(USE_NTLM),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DOES_CONVERSIONS),
def(USE_NSS),
def(USE_LIBRTMP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
True,
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__EMX__),
!def(_LDAP_PVT_H),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(HAVE_BASENAME),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(__EMX__),
def(LIB1502),
!def(CURL_DISABLE_HTTP),
(def(WIN32)&!def(__AMIGA__)),
def(DEBUGBUILD),
def(SIGALRM),
def(USE_GNUTLS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_DICT),
!def(HAVE_INET_NTOP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(LIB1503),
def(HAVE_PIPE),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_SOCKETPAIR),
def(LIB585),
def(TIME_WITH_SYS_TIME),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_CHUNKED),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_INET_PTON),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_TELNET),
def(USE_ENVIRONMENT),
!def(HAVE_GETPASS_R),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(ENABLE_IPV6),
def(MEMDEBUG_LOG_SYNC),
