!def(CURL_DISABLE_FTP),
!def(CURL_DISABLE_DICT),
def(USE_LIBRTMP),
def(HAVE_SETMODE),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_RTSP),
def(CURLDEBUG),
def(HAVE_FSETXATTR),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(__riscos__),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(UNITTESTS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_MEMRCHR),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
def(__AMIGA__),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_PROXY),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(ENABLE_IPV6),
!def(CURL_DISABLE_LDAP),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_TELNET),
!def(DEBUGBUILD),
True,
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(__EMX__),
!def(HAVE_STRTOK_R),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(__VMS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(_LDAP_PVT_H),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_TFTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_POLARSSL),
!def(HAVE_INET_PTON),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_GOPHER),
def(USE_CYASSL),
def(__EMX__),
(def(__AMIGA__)&!def(__libnix__)),
!def(HAVE_FSETXATTR),
def(LIB585),
def(HAVE_GETHOSTNAME),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_NSS),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(DEBUGBUILD),
def(CURL_DOES_CONVERSIONS),
!def(USE_WINDOWS_SSPI),
