!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_FSETXATTR),
!def(HAVE_GETPASS_R),
!def(CURL_DOES_CONVERSIONS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_NGHTTP2),
def(HAVE_FSETXATTR),
!def(HAVE_STRTOK_R),
!def(_LDAP_PVT_H),
def(HAVE_WRITABLE_ARGV),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_CHUNKED),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_FSETXATTR_6),
def(SIGHUP),
def(USE_GNUTLS),
def(HAVE_SETMODE),
!def(HAVE_MEMRCHR),
!def(HAVE_INET_NTOP),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(HAVE_INET_PTON),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(MEMDEBUG_LOG_SYNC),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_PROXY),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_DICT),
def(CURL_DOES_CONVERSIONS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(UNITTESTS),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(SIGALRM),
def(HAVE_SOCKETPAIR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(USE_POLARSSL),
def(LIB1502),
def(DEBUGBUILD),
def(LIB1503),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(UNITTESTS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(SIGPIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_GOPHER),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(__EMX__),
!def(CURL_DISABLE_TELNET),
def(CURLRES_SYNCH),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(CURL_DO_LINEEND_CONV),
def(USE_LIBRTMP),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_TFTP),
def(DISABLE_EXPECT),
def(USE_NSS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(ENABLE_IPV6),
(def(WIN32)&!def(_WIN32_WCE)),
def(TIME_WITH_SYS_TIME),
def(__riscos__),
True,
def(__VMS),
def(HAVE_FDOPEN),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_ENVIRONMENT),
def(HAVE_GSSAPI),
def(USE_CYASSL),
!def(CURL_DISABLE_LDAP),
def(LIB585),
!def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(DEBUGBUILD),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(CURL_DISABLE_HTTP),
!def(HAVE_BASENAME),
