!def(HAVE_FSETXATTR),
def(HAVE_SETMODE),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(ENABLE_IPV6),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(UNITTESTS),
!def(HAVE_STRTOK_R),
def(LIB585),
def(USE_NSS),
def(HAVE_GETHOSTNAME),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_TFTP),
def(DEBUGBUILD),
def(TIME_WITH_SYS_TIME),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_GOPHER),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_TELNET),
!def(__EMX__),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_INET_NTOP),
!def(USE_WINDOWS_SSPI),
(!def(_WIN32_WCE)&!def(WIN32)),
def(__riscos__),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(def(WIN32)&!def(_WIN32_WCE)),
def(__AMIGA__),
(def(__AMIGA__)&!def(__libnix__)),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
def(USE_LIBRTMP),
True,
!def(CURL_DISABLE_FTP),
def(__EMX__),
!def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(__VMS),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_CYASSL),
def(USE_POLARSSL),
!def(CURL_DISABLE_LDAP),
!def(HAVE_INET_PTON),
def(CURLDEBUG),
def(HAVE_FSETXATTR),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_RTSP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_DICT),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
!def(_LDAP_PVT_H),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
