!def(CURL_DISABLE_LDAP),
def(HAVE_FSETXATTR_6),
def(__VMS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_NGHTTP2),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(USE_POLARSSL),
!def(CURL_DISABLE_TFTP),
def(UNITTESTS),
def(CURL_DISABLE_HTTP),
def(USE_LIBRTMP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_WRITABLE_ARGV),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(__EMX__),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(USE_GNUTLS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
True,
def(ENABLE_IPV6),
!def(CURL_DOES_CONVERSIONS),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(USE_NSS)&def(USE_NTLM)),
def(DISABLE_EXPECT),
!def(CURL_DISABLE_TELNET),
def(USE_CHUNKED),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_INET_PTON),
def(SIGHUP),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_SOCKETPAIR),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_GSSAPI),
def(TIME_WITH_SYS_TIME),
def(HAVE_SETMODE),
!def(DEBUGBUILD),
def(DEBUGBUILD),
def(__riscos__),
!def(CURL_DISABLE_HTTP),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_RTSP),
!def(HAVE_INET_NTOP),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_NTLM),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_STRTOK_R),
def(LIB1503),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_CYASSL),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_GOPHER),
def(HAVE_FDOPEN),
def(SIGPIPE),
def(SIGALRM),
!def(HAVE_GETPASS_R),
def(USE_ENVIRONMENT),
def(LIB1502),
def(USE_NSS),
def(CURLRES_SYNCH),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_FSETXATTR),
def(LIB585),
(def(WIN32)&!def(__AMIGA__)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(USE_WINDOWS_SSPI),
def(CURLDEBUG),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(CURL_DO_LINEEND_CONV),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_MEMRCHR),
def(__EMX__),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(HAVE_GSSAPI),
!def(CURL_DISABLE_PROXY),
def(HAVE_PIPE),
!def(HAVE_FSETXATTR),
!def(_LDAP_PVT_H),
