!def(CURL_DISABLE_TELNET),
def(TIME_WITH_SYS_TIME),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_STRTOK_R),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_GNUTLS),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_GOPHER),
def(UNITTESTS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_NGHTTP2),
def(USE_ENVIRONMENT),
def(HAVE_WRITABLE_ARGV),
def(__EMX__),
(def(WIN32)&!def(_WIN32_WCE)),
def(ENABLE_IPV6),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DOES_CONVERSIONS),
def(USE_WINDOWS_SSPI),
!def(HAVE_FSETXATTR),
def(CURL_DOES_CONVERSIONS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(USE_NSS)&def(USE_NTLM)),
!def(DEBUGBUILD),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
!def(CURL_DISABLE_PROXY),
def(USE_LIBRTMP),
def(SIGHUP),
def(USE_POLARSSL),
!def(HAVE_INET_PTON),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(HAVE_INET_NTOP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_DICT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(USE_CYASSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_LDAP),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_RTSP),
def(USE_NSS),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(CURLRES_SYNCH),
def(HAVE_SOCKETPAIR),
def(USE_NTLM),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(DISABLE_EXPECT),
def(LIB585),
def(__riscos__),
!def(CURL_DISABLE_TFTP),
!def(CURL_DISABLE_HTTP),
def(HAVE_FDOPEN),
def(USE_CHUNKED),
def(SIGPIPE),
!def(__EMX__),
True,
def(HAVE_SETMODE),
def(CURL_DISABLE_HTTP),
!def(HAVE_BASENAME),
!def(HAVE_GSSAPI),
def(CURL_DO_LINEEND_CONV),
(!def(_WIN32_WCE)&!def(WIN32)),
def(HAVE_FSETXATTR_6),
!def(HAVE_MEMRCHR),
!def(_LDAP_PVT_H),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_PIPE),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(CURLDEBUG),
def(LIB1503),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(DEBUGBUILD),
def(__VMS),
def(SIGALRM),
def(LIB1502),
