!def(__EMX__),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_CHUNKED),
def(USE_WINDOWS_SSPI),
!def(_LDAP_PVT_H),
!def(CURL_DISABLE_GOPHER),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(SIGHUP),
def(HAVE_FDOPEN),
!def(HAVE_INET_PTON),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(LIB1503),
!def(CURL_DISABLE_TFTP),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_TELNET),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_DICT),
def(LIB1502),
!def(HAVE_GETPASS_R),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_BASENAME),
(def(WIN32)&!def(__AMIGA__)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(__EMX__),
def(UNITTESTS),
def(MEMDEBUG_LOG_SYNC),
def(CURL_DISABLE_HTTP),
!def(HAVE_FSETXATTR),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DOES_CONVERSIONS),
def(HAVE_WRITABLE_ARGV),
def(USE_NTLM),
def(HAVE_PIPE),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_NSS),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(SIGALRM),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DISABLE_RTSP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(DEBUGBUILD),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
True,
def(__VMS),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_STRTOK_R),
def(HAVE_SETMODE),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_PROXY),
def(SIGPIPE),
def(DISABLE_EXPECT),
!def(HAVE_INET_NTOP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_FSETXATTR),
def(HAVE_SOCKETPAIR),
def(CURLDEBUG),
def(DEBUGBUILD),
def(USE_LIBRTMP),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LDAP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(TIME_WITH_SYS_TIME),
def(LIB585),
def(__riscos__),
def(CURLRES_SYNCH),
def(USE_POLARSSL),
def(USE_CYASSL),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
