!def(CURL_DISABLE_LIBCURL_OPTION),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DISABLE_EXPECT),
def(HAVE_FSETXATTR_6),
def(USE_WINDOWS_SSPI),
!def(HAVE_MEMRCHR),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_LDAP),
!def(CURL_DOES_CONVERSIONS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_POLARSSL),
True,
def(USE_NGHTTP2),
def(HAVE_GSSAPI),
!def(__EMX__),
def(USE_CYASSL),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_NSS),
def(USE_CHUNKED),
def(DEBUGBUILD),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(TIME_WITH_SYS_TIME),
def(SIGHUP),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(HAVE_WRITABLE_ARGV),
def(USE_LIBRTMP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_NTLM),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_STRTOK_R),
!def(HAVE_INET_NTOP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(SIGALRM),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_SOCKETPAIR),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(SIGPIPE),
def(__riscos__),
!def(DEBUGBUILD),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(WIN32)&!def(__AMIGA__)),
!def(HAVE_GETPASS_R),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(__EMX__),
def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(LIB585),
def(ENABLE_IPV6),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(USE_NSS)&def(USE_NTLM)),
!def(HAVE_BASENAME),
def(HAVE_FSETXATTR),
def(UNITTESTS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(CURLRES_SYNCH),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(LIB1502),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_GOPHER),
def(LIB1503),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_TFTP),
def(HAVE_SETMODE),
!def(CURL_DISABLE_HTTP),
def(__VMS),
!def(CURL_DISABLE_RTSP),
!def(_LDAP_PVT_H),
!def(HAVE_INET_PTON),
!def(HAVE_GSSAPI),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_PROXY),
def(MEMDEBUG_LOG_SYNC),
!def(UNITTESTS),
def(USE_GNUTLS),
!def(HAVE_FSETXATTR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
