!def(_LDAP_PVT_H),
def(HAVE_SOCKETPAIR),
def(HAVE_WRITABLE_ARGV),
def(__riscos__),
def(__EMX__),
def(USE_GNUTLS),
def(ENABLE_IPV6),
def(USE_LIBRTMP),
def(__VMS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_GOPHER),
def(HAVE_FSETXATTR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(HAVE_PIPE),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(HAVE_MEMRCHR),
!def(HAVE_INET_NTOP),
def(HAVE_FDOPEN),
def(CURLDEBUG),
def(DEBUGBUILD),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_TELNET),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_PROXY),
def(SIGPIPE),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(LIB1502),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DOES_CONVERSIONS),
def(LIB585),
def(USE_NTLM),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_DICT),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_HTTP),
def(DISABLE_EXPECT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(SIGHUP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(HAVE_FSETXATTR),
def(HAVE_SETMODE),
!def(CURL_DISABLE_RTSP),
def(USE_NSS),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(LIB1503),
(def(_LDAP_PVT_H)&def(USE_SSL)),
True,
!def(HAVE_GETPASS_R),
def(USE_WINDOWS_SSPI),
!def(HAVE_INET_PTON),
def(USE_CHUNKED),
!def(CURL_DISABLE_TFTP),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(WIN32)&!def(__AMIGA__)),
!def(HAVE_BASENAME),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_LDAP),
!def(__EMX__),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(CURLRES_SYNCH),
def(SIGALRM),
def(UNITTESTS),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_CYASSL),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_POLARSSL),
(def(WIN32)&!def(_WIN32_WCE)),
