!def(DEBUGBUILD),
def(MEMDEBUG_LOG_SYNC),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(DISABLE_EXPECT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_INET_NTOP),
def(DEBUGBUILD),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_GOPHER),
def(USE_CYASSL),
def(HAVE_SOCKETPAIR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_DICT),
(def(WIN32)&!def(_WIN32_WCE)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_POLARSSL),
!def(USE_WIN32_IDN),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(CURL_DISABLE_LDAP),
def(HAVE_FSETXATTR),
def(USE_NGHTTP2),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_HTTP),
def(__VMS),
def(HAVE_GSSAPI),
!def(__EMX__),
def(USE_CHUNKED),
def(USE_ENVIRONMENT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_RTSP),
def(UNITTESTS),
def(__riscos__),
def(LIB1502),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(SIGALRM),
def(CURL_DO_LINEEND_CONV),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(!def(_WIN32_WCE)&!def(WIN32)),
def(LIB1503),
def(HAVE_WRITABLE_ARGV),
def(SIGHUP),
def(ENABLE_IPV6),
(def(_LDAP_PVT_H)&def(USE_SSL)),
True,
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(LIB585),
!def(UNITTESTS),
def(USE_NSS),
def(CURL_DISABLE_HTTP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_LIBRTMP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(WIN32)&!def(__AMIGA__)),
!def(_LDAP_PVT_H),
def(TIME_WITH_SYS_TIME),
def(HAVE_FSETXATTR_6),
!def(HAVE_MEMRCHR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_STRTOK_R),
!def(CURL_DOES_CONVERSIONS),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_TELNET),
!def(HAVE_GETPASS_R),
def(CURLRES_SYNCH),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_FDOPEN),
!def(HAVE_INET_PTON),
def(USE_GNUTLS),
def(SIGPIPE),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_TFTP),
!def(HAVE_BASENAME),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_PROXY),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
