!def(HAVE_GETPASS_R),
!def(CURL_DISABLE_DICT),
def(CURL_DO_LINEEND_CONV),
def(MEMDEBUG_LOG_SYNC),
def(HAVE_PIPE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_HTTP),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(WIN32)&!def(__AMIGA__)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(SIGPIPE),
!def(HAVE_MEMRCHR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_CHUNKED),
!def(CURL_DOES_CONVERSIONS),
def(ENABLE_IPV6),
def(LIB585),
def(USE_CYASSL),
!def(CURL_DISABLE_GOPHER),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(LIB1502),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_RTSP),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(CURL_DISABLE_LDAP),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_GNUTLS),
def(USE_ENVIRONMENT),
def(SIGHUP),
def(CURLRES_SYNCH),
def(HAVE_SOCKETPAIR),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
def(DISABLE_EXPECT),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_SETMODE),
def(USE_NSS),
!def(HAVE_FSETXATTR),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(HAVE_INET_PTON),
!def(_LDAP_PVT_H),
def(USE_NTLM),
def(USE_POLARSSL),
True,
def(HAVE_FSETXATTR_6),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_TFTP),
def(HAVE_GSSAPI),
def(HAVE_FSETXATTR),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(LIB1503),
def(CURL_DOES_CONVERSIONS),
def(USE_NGHTTP2),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(__riscos__),
def(__EMX__),
def(USE_WINDOWS_SSPI),
def(__VMS),
def(SIGALRM),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(HAVE_STRTOK_R),
!def(HAVE_BASENAME),
def(DEBUGBUILD),
def(UNITTESTS),
def(HAVE_WRITABLE_ARGV),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_LIBRTMP),
!def(__EMX__),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(CURL_DISABLE_HTTP),
!def(DEBUGBUILD),
!def(CURL_DISABLE_PROXY),
def(CURLDEBUG),
!def(HAVE_INET_NTOP),
(def(USE_NSS)&def(USE_NTLM)),
