!def(__EMX__),
def(USE_NGHTTP2),
def(TIME_WITH_SYS_TIME),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_MEMRCHR),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_LDAP),
!def(CURL_DISABLE_GOPHER),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(UNITTESTS),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DISABLE_HTTP),
(def(USE_NSS)&def(USE_NTLM)),
def(USE_WINDOWS_SSPI),
def(LIB1502),
def(__VMS),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_BASENAME),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(__riscos__),
def(__EMX__),
def(CURLRES_SYNCH),
def(HAVE_SOCKETPAIR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_GSSAPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_ENVIRONMENT),
!def(_LDAP_PVT_H),
!def(HAVE_INET_NTOP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_DICT),
def(USE_CHUNKED),
def(LIB585),
def(CURL_DOES_CONVERSIONS),
def(HAVE_FDOPEN),
def(SIGPIPE),
(def(HAVE_PIPE)&!def(UNITTESTS)),
def(DEBUGBUILD),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_INET_PTON),
def(UNITTESTS),
!def(CURL_DISABLE_RTSP),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(SIGHUP),
def(USE_GNUTLS),
def(USE_NTLM),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(ENABLE_IPV6),
!def(CURL_DISABLE_TFTP),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NSS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_PROXY),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(USE_LIBRTMP),
def(DISABLE_EXPECT),
!def(HAVE_GETPASS_R),
def(MEMDEBUG_LOG_SYNC),
def(SIGALRM),
def(HAVE_FSETXATTR_6),
def(LIB1503),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_STRTOK_R),
def(HAVE_GSSAPI),
def(HAVE_FSETXATTR),
!def(DEBUGBUILD),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(HAVE_FSETXATTR),
(def(WIN32)&!def(__AMIGA__)),
True,
def(USE_CYASSL),
def(HAVE_SETMODE),
def(USE_POLARSSL),
!def(CURL_DISABLE_TELNET),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
