!def(CURL_DISABLE_TFTP),
def(HAVE_WRITABLE_ARGV),
!def(_LDAP_PVT_H),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(__riscos__),
def(SIGALRM),
def(LIB585),
!def(CURL_DOES_CONVERSIONS),
(!def(_WIN32_WCE)&!def(WIN32)),
def(CURL_DOES_CONVERSIONS),
True,
def(TIME_WITH_SYS_TIME),
!def(HAVE_BASENAME),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_NSS),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURLDEBUG),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(LIB1502),
!def(CURL_DISABLE_TELNET),
!def(HAVE_INET_NTOP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_CHUNKED),
!def(HAVE_STRTOK_R),
def(USE_POLARSSL),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_FSETXATTR),
def(USE_GNUTLS),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_RTSP),
!def(DEBUGBUILD),
def(CURLRES_SYNCH),
def(SIGHUP),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(MEMDEBUG_LOG_SYNC),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(__EMX__),
def(HAVE_SOCKETPAIR),
!def(CURL_DISABLE_PROXY),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(DEBUGBUILD),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_LDAP),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(USE_CYASSL),
!def(HAVE_INET_PTON),
!def(HAVE_FSETXATTR),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_LIBRTMP),
def(ENABLE_IPV6),
!def(HAVE_MEMRCHR),
def(__VMS),
!def(CURL_DISABLE_DICT),
def(USE_WINDOWS_SSPI),
!def(HAVE_GETPASS_R),
def(WIN32),
def(HAVE_PIPE),
def(__EMX__),
(def(WIN32)&!def(__AMIGA__)),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(DISABLE_EXPECT),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(LIB1503),
def(UNITTESTS),
!def(CURL_DISABLE_GOPHER),
def(USE_NTLM),
def(HAVE_SETMODE),
def(SIGPIPE),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(WIN32)&!def(_WIN32_WCE)),
