!def(__EMX__),
def(USE_GNUTLS),
def(__riscos__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_POLARSSL),
!def(HAVE_GETPASS_R),
def(HAVE_FSETXATTR_6),
def(UNITTESTS),
!def(CURL_DISABLE_RTSP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_STRTOK_R),
!def(HAVE_INET_NTOP),
!def(_LDAP_PVT_H),
def(USE_LIBRTMP),
def(SIGALRM),
!def(UNITTESTS),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(CURL_DISABLE_HTTP),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_PROXY),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
!def(CURL_DOES_CONVERSIONS),
def(LIB585),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(TIME_WITH_SYS_TIME),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(CURLRES_SYNCH),
def(USE_CHUNKED),
def(HAVE_FDOPEN),
def(MEMDEBUG_LOG_SYNC),
def(DISABLE_EXPECT),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(HAVE_SETMODE),
def(__EMX__),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_INET_PTON),
def(SIGHUP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(USE_ENVIRONMENT),
def(SIGPIPE),
(def(_LDAP_PVT_H)&def(USE_SSL)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(DEBUGBUILD),
!def(CURL_DISABLE_LDAP),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(USE_CYASSL),
def(USE_NSS),
!def(HAVE_BASENAME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_FSETXATTR),
def(HAVE_WRITABLE_ARGV),
def(USE_WINDOWS_SSPI),
def(LIB1502),
!def(CURL_DISABLE_TFTP),
def(USE_NGHTTP2),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(LIB1503),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_MEMRCHR),
def(DEBUGBUILD),
!def(CURL_DISABLE_GOPHER),
True,
(def(USE_NSS)&def(USE_NTLM)),
def(__VMS),
def(HAVE_GSSAPI),
!def(HAVE_GSSAPI),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_NTLM),
def(ENABLE_IPV6),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_DICT),
def(HAVE_SOCKETPAIR),
(!def(DEBUGBUILD)&!def(CURL_DISABLE_CRYPTO_AUTH)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_FSETXATTR),
(def(WIN32)&!def(__AMIGA__)),
def(CURL_DISABLE_HTTP),
