def(HAVE_WRITABLE_ARGV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NTLM),
!def(CURL_DISABLE_GOPHER),
!def(CURL_DISABLE_TFTP),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_CHUNKED),
def(CURL_DISABLE_HTTP),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(WIN32)&!def(__AMIGA__)),
def(HAVE_FSETXATTR),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_TELNET),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(__VMS),
!def(CURL_DISABLE_DICT),
!def(HAVE_FSETXATTR),
(def(__AMIGA__)&!def(__libnix__)),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
def(__AMIGA__),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(HAVE_SETMODE),
def(USE_NSS),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(HAVE_GETHOSTNAME),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(HAVE_MEMRCHR),
!def(CURL_DISABLE_RTSP),
!def(_LDAP_PVT_H),
!def(HAVE_INET_PTON),
(def(WIN32)&!def(_WIN32_WCE)),
def(LIB585),
def(TIME_WITH_SYS_TIME),
def(DISABLE_EXPECT),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
def(USE_LIBRTMP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(!def(_WIN32_WCE)&!def(WIN32)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_CYASSL),
def(DEBUGBUILD),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_PROXY),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
def(HAVE_PIPE),
!def(CURL_DISABLE_HTTP),
!def(HAVE_INET_NTOP),
!def(__EMX__),
!def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(USE_WINDOWS_SSPI),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
!def(CURL_DISABLE_FTP),
!def(CURL_DISABLE_LDAP),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(__EMX__),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(__riscos__),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_STRTOK_R),
def(UNITTESTS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURLDEBUG),
def(USE_POLARSSL),
True,
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
