!def(CURL_DISABLE_PROXY),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(HAVE_MEMRCHR),
!def(HAVE_STRTOK_R),
def(HAVE_FDOPEN),
!def(CURL_DISABLE_RTSP),
def(CURL_DOES_CONVERSIONS),
!def(HAVE_BASENAME),
def(HAVE_FSETXATTR),
def(ENABLE_IPV6),
def(UNITTESTS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(USE_POLARSSL),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_HTTP),
def(SIGALRM),
def(DISABLE_EXPECT),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_GETPASS_R),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(DEBUGBUILD),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_LIBRTMP),
!def(HAVE_INET_NTOP),
(!def(_WIN32_WCE)&!def(WIN32)),
def(TIME_WITH_SYS_TIME),
def(HAVE_PIPE),
def(LIB1503),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(_LDAP_PVT_H),
def(LIB1502),
True,
def(CURLRES_SYNCH),
def(USE_CYASSL),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(__VMS),
!def(__EMX__),
def(__riscos__),
def(SIGPIPE),
def(USE_CHUNKED),
def(CURLDEBUG),
!def(HAVE_INET_PTON),
def(HAVE_SETMODE),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_WRITABLE_ARGV),
def(LIB585),
def(DEBUGBUILD),
def(USE_ENVIRONMENT),
def(SIGHUP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_LDAP),
def(USE_WINDOWS_SSPI),
def(HAVE_SOCKETPAIR),
def(CURL_DISABLE_HTTP),
def(USE_NSS),
!def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
!def(CURL_DISABLE_GOPHER),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(WIN32)&!def(__AMIGA__)),
def(USE_NTLM),
!def(CURL_DISABLE_TELNET),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(__EMX__),
!def(CURL_DISABLE_TFTP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_FSETXATTR),
(def(__VMS)&!def(HAVE_GETPASS_R)),
