!def(HAVE_INET_NTOP),
!def(_LDAP_PVT_H),
def(USE_NGHTTP2),
def(HAVE_FSETXATTR_6),
def(CURL_DO_LINEEND_CONV),
def(LIB585),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_CHUNKED),
def(__EMX__),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_LIBRTMP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(TIME_WITH_SYS_TIME),
!def(__EMX__),
!def(HAVE_GETPASS_R),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(USE_ENVIRONMENT),
!def(CURL_DISABLE_GOPHER),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(HAVE_SETMODE),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_TELNET),
def(__riscos__),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(def(WIN32)&!def(__AMIGA__)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(HAVE_WRITABLE_ARGV),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURLRES_SYNCH),
def(USE_NSS),
def(USE_CYASSL),
def(USE_POLARSSL),
def(DEBUGBUILD),
def(UNITTESTS),
def(MEMDEBUG_LOG_SYNC),
!def(UNITTESTS),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DOES_CONVERSIONS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
def(ENABLE_IPV6),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(CURL_DISABLE_HTTP),
def(HAVE_SOCKETPAIR),
def(LIB1502),
def(HAVE_FSETXATTR),
!def(CURL_DISABLE_LDAP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_GNUTLS),
def(HAVE_GSSAPI),
!def(CURL_DISABLE_RTSP),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_TFTP),
!def(HAVE_STRTOK_R),
!def(HAVE_GSSAPI),
def(SIGPIPE),
def(__VMS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(LIB1503),
def(CURL_DISABLE_HTTP),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURL_DOES_CONVERSIONS),
!def(CURL_DISABLE_PROXY),
!def(HAVE_FSETXATTR),
def(DISABLE_EXPECT),
!def(HAVE_INET_PTON),
def(SIGALRM),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_MEMRCHR),
!def(HAVE_BASENAME),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(CURL_DISABLE_DICT),
def(SIGHUP),
True,
!def(CURL_DISABLE_CRYPTO_AUTH),
def(HAVE_FDOPEN),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
