!def(CURL_DISABLE_RTSP),
!def(__EMX__),
def(HAVE_GSSAPI),
!def(CURL_DOES_CONVERSIONS),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_PROXY),
def(HAVE_FDOPEN),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(USE_NGHTTP2),
!def(HAVE_BASENAME),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(_LDAP_PVT_H),
def(HAVE_FSETXATTR),
def(HAVE_SETMODE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(CURL_DISABLE_LDAP),
def(USE_LIBRTMP),
def(USE_ENVIRONMENT),
def(__EMX__),
!def(CURL_DISABLE_TFTP),
def(LIB585),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(LIB1502),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_INET_PTON),
def(__VMS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_HTTP),
def(USE_CHUNKED),
!def(UNITTESTS),
def(DEBUGBUILD),
def(DISABLE_EXPECT),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
def(ENABLE_IPV6),
def(HAVE_FSETXATTR_6),
!def(CURL_DISABLE_LIBCURL_OPTION),
(def(WIN32)&!def(_WIN32_WCE)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(LIB1503),
def(USE_GNUTLS),
def(SIGHUP),
!def(CURL_DISABLE_CRYPTO_AUTH),
def(USE_NSS),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(CURL_DISABLE_HTTP),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
!def(CURL_DISABLE_DICT),
!def(HAVE_INET_NTOP),
!def(HAVE_MEMRCHR),
def(HAVE_SOCKETPAIR),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_GETPASS_R),
def(CURLRES_SYNCH),
def(SIGPIPE),
def(USE_CYASSL),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(SIGALRM),
!def(HAVE_GSSAPI),
def(USE_POLARSSL),
!def(HAVE_FSETXATTR),
def(USE_WINDOWS_SSPI),
def(UNITTESTS),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(TIME_WITH_SYS_TIME),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_GOPHER),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(__riscos__),
!def(CURL_DISABLE_TELNET),
!def(DEBUGBUILD),
True,
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(CURL_DO_LINEEND_CONV),
