def(HAVE_GETHOSTNAME),
!def(CURL_DISABLE_FTP),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(DISABLE_EXPECT),
!def(__EMX__),
def(LIB585),
!def(CURL_DISABLE_RTSP),
def(CURL_DISABLE_HTTP),
True,
def(__EMX__),
!def(HAVE_MEMRCHR),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
!def(DEBUGBUILD),
!def(USE_WINDOWS_SSPI),
!def(CURL_DOES_CONVERSIONS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(__AMIGA__)&!def(__libnix__)),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_FSETXATTR),
def(USE_NTLM),
!def(_LDAP_PVT_H),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_CYASSL),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_INET_PTON),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(DEBUGBUILD),
def(USE_POLARSSL),
!def(CURL_DISABLE_TFTP),
def(ENABLE_IPV6),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(__riscos__),
def(HAVE_SETMODE),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_PIPE),
def(TIME_WITH_SYS_TIME),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_GOPHER),
def(HAVE_WRITABLE_ARGV),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_GNUTLS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(HAVE_INET_NTOP),
def(CURL_DOES_CONVERSIONS),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NSS),
def(USE_CHUNKED),
def(__AMIGA__),
def(__VMS),
(def(_LDAP_PVT_H)&def(USE_SSL)),
!def(CURL_DISABLE_LDAP),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(USE_LIBRTMP),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_PROXY),
!def(CURL_DISABLE_DICT),
def(UNITTESTS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(CURLDEBUG),
!def(CURL_DISABLE_TELNET),
def(HAVE_FSETXATTR),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
