!def(CURL_DISABLE_TFTP),
def(HAVE_PIPE),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(CURL_DOES_CONVERSIONS),
def(USE_NTLM),
def(CURLDEBUG),
!def(CURL_DISABLE_LDAP),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(LIB1503),
True,
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(_LDAP_PVT_H),
def(HAVE_FSETXATTR),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
!def(HAVE_GETPASS_R),
(def(WIN32)&!def(__AMIGA__)),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(__EMX__),
def(CURLRES_SYNCH),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(ENABLE_IPV6),
def(__EMX__),
def(USE_CYASSL),
def(UNITTESTS),
def(USE_POLARSSL),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_RTSP),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_WRITABLE_ARGV),
(!def(_WIN32_WCE)&!def(WIN32)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_HTTP),
!def(HAVE_STRTOK_R),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_TELNET),
def(CURL_DISABLE_HTTP),
def(LIB585),
def(SIGALRM),
def(__riscos__),
def(__VMS),
def(USE_GNUTLS),
def(LIB1502),
!def(HAVE_INET_PTON),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_GOPHER),
!def(DEBUGBUILD),
def(USE_NSS),
!def(HAVE_INET_NTOP),
def(USE_WINDOWS_SSPI),
!def(CURL_DISABLE_DICT),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_SETMODE),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DISABLE_EXPECT),
def(HAVE_FDOPEN),
def(SIGPIPE),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_LIBRTMP),
def(SIGHUP),
def(USE_CHUNKED),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(HAVE_MEMRCHR),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_PROXY),
def(HAVE_SOCKETPAIR),
!def(CURL_DOES_CONVERSIONS),
def(DEBUGBUILD),
def(USE_ENVIRONMENT),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
