def(USE_GNUTLS),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(CURL_DISABLE_HTTP),
!def(HAVE_GSSAPI),
!def(CURL_DISABLE_PROXY),
def(ENABLE_IPV6),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_TFTP),
!def(HAVE_MEMRCHR),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_POLARSSL),
def(__riscos__),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
(def(WIN32)&!def(_WIN32_WCE)),
!def(CURL_DISABLE_GOPHER),
def(LIB1502),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(CURL_DO_LINEEND_CONV),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(USE_NSS),
!def(DEBUGBUILD),
True,
def(USE_CHUNKED),
!def(CURL_DISABLE_CRYPTO_AUTH),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_WRITABLE_ARGV),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(HAVE_INET_NTOP),
def(HAVE_FSETXATTR),
!def(HAVE_STRTOK_R),
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(USE_CYASSL),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(HAVE_SETMODE),
!def(HAVE_BASENAME),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_HTTP),
def(LIB585),
(def(__riscos__)&def(USE_ENVIRONMENT)),
def(USE_LIBRTMP),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_DICT),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(WIN32)&!def(__AMIGA__)),
def(HAVE_FSETXATTR_6),
def(SIGALRM),
def(CURL_DOES_CONVERSIONS),
def(MEMDEBUG_LOG_SYNC),
def(SIGPIPE),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(HAVE_FSETXATTR),
!def(CURL_DISABLE_RTSP),
!def(UNITTESTS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(CURLRES_SYNCH),
def(DEBUGBUILD),
!def(CURL_DISABLE_LDAP),
!def(CURL_DOES_CONVERSIONS),
(!def(_WIN32_WCE)&!def(WIN32)),
def(USE_ENVIRONMENT),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(SIGHUP),
!def(_LDAP_PVT_H),
def(USE_NGHTTP2),
def(UNITTESTS),
!def(CURL_DISABLE_TELNET),
def(__EMX__),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(LIB1503),
def(DISABLE_EXPECT),
def(HAVE_SOCKETPAIR),
!def(CURL_DISABLE_LIBCURL_OPTION),
def(HAVE_FDOPEN),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(HAVE_GETPASS_R),
def(__VMS),
!def(__EMX__),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(HAVE_GSSAPI),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
