(def(DEBUGBUILD)&def(HAVE_GETHOSTNAME)),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(DEBUGBUILD),
def(DISABLE_EXPECT),
!def(_LDAP_PVT_H),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(HAVE_FSETXATTR),
def(USE_NTLM),
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(USE_NSS),
def(__EMX__),
def(__AMIGA__),
!def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_TFTP),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_DICT),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(HAVE_MEMRCHR),
def(HAVE_GETHOSTNAME),
(def(__AMIGA__)&!def(__libnix__)),
def(HAVE_FSETXATTR),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
!def(CURL_DISABLE_GOPHER),
def(HAVE_PIPE),
def(ENABLE_IPV6),
True,
!def(__EMX__),
def(USE_LIBRTMP),
!def(HAVE_INET_NTOP),
def(TIME_WITH_SYS_TIME),
(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP)),
(def(HAVE_FDOPEN)&def(CURLDEBUG)),
!def(CURL_DISABLE_FTP),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
def(CURL_DOES_CONVERSIONS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
(def(MEMDEBUG_LOG_SYNC)&def(CURLDEBUG)),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_RTSP),
def(__VMS),
!def(DEBUGBUILD),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(CURL_DISABLE_CRYPTO_AUTH),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
!def(CURL_DISABLE_TELNET),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(HAVE_STRTOK_R),
def(UNITTESTS),
def(__riscos__),
!def(CURL_DISABLE_LDAP),
!def(USE_WINDOWS_SSPI),
def(HAVE_WRITABLE_ARGV),
def(USE_CHUNKED),
def(USE_POLARSSL),
def(CURLDEBUG),
def(USE_GNUTLS),
def(USE_CYASSL),
(def(WIN32)&!def(_WIN32_WCE)),
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),
def(HAVE_SETMODE),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
(def(HAVE_GETHOSTNAME)&!def(DEBUGBUILD)),
!def(CURL_DISABLE_PROXY),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(LIB585),
!def(CURL_DISABLE_LIBCURL_OPTION),
