(def(_LDAP_PVT_H)&!def(USE_SSL)),
def(HAVE_SETMODE),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(HAVE_FSETXATTR_6),
(def(WIN32)&!def(__AMIGA__)),
def(CURLRES_SYNCH),
def(__EMX__),
!def(_LDAP_PVT_H),
def(HAVE_FSETXATTR),
def(__riscos__),
def(ENABLE_IPV6),
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),
def(USE_LIBRTMP),
def(USE_POLARSSL),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(UNITTESTS)&!def(CURLDEBUG)&def(__VMS)),
def(LIB585),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_RTSP),
def(TIME_WITH_SYS_TIME),
!def(HAVE_INET_PTON),
!def(CURL_DISABLE_PROXY),
!def(__EMX__),
(def(WIN32)&!def(_WIN32_WCE)),
!def(HAVE_GSSAPI),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
!def(HAVE_INET_NTOP),
(def(HAVE_PIPE)&!def(UNITTESTS)),
(def(__VMS)&!def(HAVE_GETPASS_R)),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(SIGHUP),
def(DEBUGBUILD),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(MEMDEBUG_LOG_SYNC),
def(CURL_DO_LINEEND_CONV),
def(HAVE_WRITABLE_ARGV),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
!def(CURL_DISABLE_TELNET),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(UNITTESTS),
!def(DEBUGBUILD),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
def(USE_CHUNKED),
!def(CURL_DISABLE_TFTP),
def(USE_NSS),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(HAVE_SOCKETPAIR),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
!def(HAVE_BASENAME),
!def(HAVE_MEMRCHR),
def(__VMS),
!def(CURL_DOES_CONVERSIONS),
True,
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),
def(SIGALRM),
def(LIB1503),
(def(HAVE_GSSAPI)&!def(CURL_DISABLE_FTP)),
!def(CURL_DISABLE_DICT),
def(USE_GNUTLS),
def(HAVE_FDOPEN),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DISABLE_HTTP),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
!def(CURL_DISABLE_GOPHER),
def(HAVE_GSSAPI),
def(DISABLE_EXPECT),
def(UNITTESTS),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_FSETXATTR),
def(CURL_DISABLE_HTTP),
def(USE_CYASSL),
!def(HAVE_GETPASS_R),
def(LIB1502),
def(USE_ENVIRONMENT),
def(USE_NGHTTP2),
def(SIGPIPE),
!def(CURL_DISABLE_LDAP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
