def(HAVE_FDOPEN),
def(__EMX__),
def(LIB1503),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(USE_ENVIRONMENT),
def(CURLDEBUG),
def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
!def(HAVE_MEMRCHR),
def(__VMS),
(def(__VMS)&!def(HAVE_GETPASS_R)),
!def(CURL_DISABLE_PROXY),
def(WIN32),
!def(CURL_DISABLE_TFTP),
(def(__riscos__)&def(USE_ENVIRONMENT)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(UNITTESTS),
def(ENABLE_IPV6),
def(DISABLE_EXPECT),
def(HAVE_PIPE),
!def(_LDAP_PVT_H),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
!def(CURL_DISABLE_HTTP),
def(MEMDEBUG_LOG_SYNC),
!def(CURL_DISABLE_RTSP),
def(USE_WINDOWS_SSPI),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(SIGALRM),
def(__riscos__),
def(USE_NTLM),
def(USE_CHUNKED),
def(HAVE_SETMODE),
def(USE_GNUTLS),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
!def(HAVE_GETPASS_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
def(LIB585),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(SIGPIPE),
def(HAVE_WRITABLE_ARGV),
def(LIB1502),
def(USE_POLARSSL),
(!def(_WIN32_WCE)&!def(WIN32)),
True,
def(CURL_DOES_CONVERSIONS),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
!def(HAVE_FSETXATTR),
(def(WIN32)&!def(_WIN32_WCE)),
def(USE_NSS),
def(USE_LIBRTMP),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(HAVE_INET_PTON),
def(CURL_DISABLE_HTTP),
!def(HAVE_STRTOK_R),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_FSETXATTR),
!def(__EMX__),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
!def(HAVE_BASENAME),
!def(CURL_DISABLE_TELNET),
!def(CURL_DISABLE_DICT),
def(TIME_WITH_SYS_TIME),
!def(CURL_DISABLE_LDAP),
def(CURLRES_SYNCH),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
def(SIGHUP),
!def(DEBUGBUILD),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_SOCKETPAIR),
!def(CURL_DOES_CONVERSIONS),
(def(WIN32)&!def(__AMIGA__)),
!def(CURL_DISABLE_GOPHER),
!def(HAVE_INET_NTOP),
def(USE_CYASSL),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
