!def(CURL_DISABLE_GOPHER),
def(LIB1503),
!def(CURL_DISABLE_PROXY),
(def(ENABLE_IPV6)&def(USE_POLARSSL)),
def(CURLRES_SYNCH),
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_SETMODE),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))),
!def(DEBUGBUILD),
True,
(def(__VMS)&!def(HAVE_GETPASS_R)),
def(SIGHUP),
!def(HAVE_FSETXATTR),
def(ENABLE_IPV6),
!def(__EMX__),
def(TIME_WITH_SYS_TIME),
def(CURLDEBUG),
def(__VMS),
(def(WIN32)&!def(__AMIGA__)),
def(UNITTESTS),
def(USE_GNUTLS),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),
def(HAVE_FSETXATTR),
(def(WIN32)&!def(_WIN32_WCE)),
def(HAVE_WRITABLE_ARGV),
!def(HAVE_INET_NTOP),
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)),
!def(HAVE_BASENAME),
!def(HAVE_STRTOK_R),
!def(HAVE_INET_PTON),
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),
def(HAVE_FDOPEN),
def(__riscos__),
(!def(NO_FILESYSTEM)&def(USE_CYASSL)),
def(USE_ENVIRONMENT),
(def(NETWARE)&def(__NOVELL_LIBC__)&(def(__NOVELL_LIBC__)|!def(NETWARE))),
def(USE_CHUNKED),
!def(CURL_DISABLE_CRYPTO_AUTH),
!def(CURL_DISABLE_TFTP),
(def(GTLSDEBUG)&def(USE_GNUTLS)),
def(DISABLE_EXPECT),
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),
def(HAVE_PIPE),
def(CURL_DISABLE_HTTP),
!def(CURL_DISABLE_TELNET),
def(USE_LIBRTMP),
!def(HAVE_GETPASS_R),
def(CURL_DOES_CONVERSIONS),
(def(HAVE_FSETXATTR_6)&def(HAVE_FSETXATTR)),
def(DEBUGBUILD),
!def(CURL_DISABLE_LIBCURL_OPTION),
(!def(_WIN32_WCE)&!def(WIN32)),
!def(CURL_DOES_CONVERSIONS),
def(SIGPIPE),
def(__EMX__),
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),
def(HAVE_SOCKETPAIR),
(!def(__NOVELL_LIBC__)&def(NETWARE)),
(def(_LDAP_PVT_H)&!def(USE_SSL)),
!def(CURL_DISABLE_HTTP),
def(LIB1502),
def(USE_NTLM),
def(LIB585),
(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP)),
def(USE_CYASSL),
!def(CURL_DISABLE_RTSP),
def(USE_POLARSSL),
!def(_LDAP_PVT_H),
def(USE_NSS),
!def(CURL_DISABLE_DICT),
!def(HAVE_MEMRCHR),
def(USE_WINDOWS_SSPI),
(def(__riscos__)&def(USE_ENVIRONMENT)),
!def(CURL_DISABLE_LDAP),
def(SIGALRM),
(def(_LDAP_PVT_H)&def(USE_SSL)),
def(MEMDEBUG_LOG_SYNC),
