!def(JSON_C_VERSION),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
def(ENV_LD_LIBRARY_PATH),
def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(STATIC),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(PCRE_NEWLINE_ANYCRLF),
def(JSON_C_VERSION),
