!def(SYSLOG_NG_HAVE_INET_ATON),
!def(STATIC),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(_AIX),
True,
def(JSON_C_VERSION),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(_AIX),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
