!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_MSC_VER),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_AIX),
def(JSON_C_VERSION),
True,
!def(STATIC),
!def(PCRE_NEWLINE_ANYCRLF),
def(__linux__),
def(_AIX),
!def(JSON_C_VERSION),
