!def(STATIC),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(_AIX),
def(JSON_C_VERSION),
!def(_AIX),
!def(_MSC_VER),
True,
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(ENV_LD_LIBRARY_PATH),
def(__linux__),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
