!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_MSC_VER),
!def(PCRE_NEWLINE_ANYCRLF),
def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
def(__linux__),
True,
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_AIX),
def(_AIX),
