!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(JSON_C_VERSION),
def(JSON_C_VERSION),
def(_AIX),
!def(PCRE_NEWLINE_ANYCRLF),
True,
!def(_AIX),
def(__linux__),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(STATIC),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
