!def(SYSLOG_NG_HAVE_MEMRCHR),
def(_AIX),
True,
def(__linux__),
!def(_AIX),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MODERN_UTMP),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
def(SYSLOG_NG_HAVE_MODERN_UTMP),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_MSC_VER),
def(JSON_C_VERSION),
!def(STATIC),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
