!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_AIX),
True,
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
!def(PCRE_NEWLINE_ANYCRLF),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(__linux__),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(STATIC),
def(_AIX),
