!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(_AIX),
!def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
!def(STATIC),
!def(PCRE_NEWLINE_ANYCRLF),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(__linux__),
True,
def(JSON_C_VERSION),
