def(_AIX),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
!def(_MSC_VER),
!def(STATIC),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(PCRE_NEWLINE_ANYCRLF),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_AIX),
True,
def(ENV_LD_LIBRARY_PATH),
def(__linux__),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
