!def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
True,
def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(__linux__),
def(JSON_C_VERSION),
!def(STATIC),
def(_AIX),
!def(JSON_C_VERSION),
!def(_MSC_VER),
