!def(JSON_C_VERSION),
!def(STATIC),
def(_AIX),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(PCRE_NEWLINE_ANYCRLF),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_AIX),
def(__linux__),
!def(SYSLOG_NG_HAVE_UTMPX_H),
True,
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(JSON_C_VERSION),
