def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(STATIC),
!def(_MSC_VER),
def(__linux__),
!def(PCRE_NEWLINE_ANYCRLF),
def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
True,
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_AIX),
