!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(PCRE_NEWLINE_ANYCRLF),
!def(_MSC_VER),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(JSON_C_VERSION),
True,
def(_AIX),
!def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(__linux__),
!def(STATIC),
