def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(__linux__),
True,
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(_AIX),
def(_AIX),
!def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_INET_ATON),
def(JSON_C_VERSION),
!def(STATIC),
!def(_MSC_VER),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(SYSLOG_NG_HAVE_UTMPX_H),
