!def(PCRE_NEWLINE_ANYCRLF),
!def(_AIX),
def(_AIX),
!def(_MSC_VER),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(__linux__),
!def(STATIC),
def(JSON_C_VERSION),
def(ENV_LD_LIBRARY_PATH),
