!def(SYSLOG_NG_HAVE_INET_ATON),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(_AIX),
!def(STATIC),
!def(JSON_C_VERSION),
def(JSON_C_VERSION),
!def(_MSC_VER),
True,
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
def(__linux__),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
