!def(_AIX),
def(__linux__),
!def(STATIC),
def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(PCRE_NEWLINE_ANYCRLF),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
True,
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(ENV_LD_LIBRARY_PATH),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_MSC_VER),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
