def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(ENV_LD_LIBRARY_PATH),
def(_AIX),
!def(_MSC_VER),
!def(STATIC),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(_AIX),
def(__linux__),
!def(SYSLOG_NG_HAVE_INET_ATON),
True,
!def(JSON_C_VERSION),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_UTMPX_H),
