def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(__linux__),
def(JSON_C_VERSION),
!def(STATIC),
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
True,
!def(SYSLOG_NG_HAVE_INET_ATON),
def(_AIX),
def(ENV_LD_LIBRARY_PATH),
!def(_AIX),
