!def(PCRE_NEWLINE_ANYCRLF),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(JSON_C_VERSION),
!def(_AIX),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(_AIX),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(_MSC_VER),
def(ENV_LD_LIBRARY_PATH),
def(__linux__),
True,
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
