!def(SYSLOG_NG_HAVE_STRCASESTR),
!def(SYSLOG_NG_HAVE_INET_ATON),
!def(JSON_C_VERSION),
!def(_MSC_VER),
!def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
def(JSON_C_VERSION),
def(__linux__),
!def(SYSLOG_NG_HAVE_MEMRCHR),
!def(PCRE_NEWLINE_ANYCRLF),
True,
!def(STATIC),
def(_AIX),
!def(SYSLOG_NG_HAVE_UTMPX_H),
def(ENV_LD_LIBRARY_PATH),
