!def(SYSLOG_NG_HAVE_INET_ATON),
def(_AIX),
def(SYSLOG_NG_HAVE_UTMPX_H),
!def(PCRE_NEWLINE_ANYCRLF),
True,
!def(_MSC_VER),
def(SYSLOG_NG_HAVE_CLOCK_GETTIME),
!def(SYSLOG_NG_HAVE_MEMRCHR),
def(ENV_LD_LIBRARY_PATH),
!def(JSON_C_VERSION),
!def(SYSLOG_NG_HAVE_UTMPX_H),
!def(_AIX),
!def(SYSLOG_NG_HAVE_STRCASESTR),
def(JSON_C_VERSION),
!def(STATIC),
def(__linux__),
